seg1,t1,seg2,t2
138,0.0187281,124,0.775687
138,0.0101502,127,1.18406
139,0.780317,96,2.93185
139,0.0662456,116,0.612626
139,0.758417,134,0.927409
140,0.727962,96,2.93134
140,0.233851,116,0.720117
140,-0.324319,117,1.50528
140,-0.486666,118,1.68946
140,0.750566,134,0.98494
141,-1.56362,113,-0.108018
141,-0.904234,134,-0.252173
141,-1.15261,136,-0.259949
141,-1.65973,137,-0.364326
141,-0.781337,138,1.83194
142,-0.0969912,124,1.59929
142,0.683179,138,0.914157
144,0.99369,138,1.79135
144,0.955367,141,-0.775717
144,0.609051,143,0.940207
145,0.572305,124,1.62724
146,0.369244,116,0.25684
146,0.806393,117,1.4565
146,1.13886,118,-0.635503
146,0.731613,139,-0.402534
146,0.840563,140,-0.376659
147,0.654105,124,2.03745
148,1.28964,108,-1.06429
148,-0.108725,120,1.54087
148,-0.222404,124,0.692271
148,-0.131982,127,1.26163
152,1.10917,108,-0.759434
152,0.061385,124,1.17696
152,0.642151,148,0.619156
153,1.83767,108,-1.45325
153,0.770375,124,2.06458
153,0.837889,147,0.725068
154,-0.231015,108,-1.73583
154,1.08697,124,1.55217
154,1.04371,145,0.508193
154,0.307639,153,1.40329
155,2.49597,108,-1.10725
155,2.45304,148,1.37869
156,0.144222,108,-0.457757
156,0.126667,110,0.0358581
156,0.106424,122,0.00164567
156,1.40468,124,1.66784
156,1.41433,142,-0.141196
156,1.39352,145,0.510463
156,0.701921,148,0.626791
156,0.695546,152,0.653267
156,1.3213,154,0.998262
157,-2.22283,149,-1.30315
157,-1.65946,150,1.02156
158,0.771647,108,-0.110816
158,0.887488,109,0.330106
159,1.02252,124,1.5946
159,0.970013,142,-0.0887444
159,0.692853,143,-0.0851611
159,0.992247,145,0.550001
159,1.04055,154,1.03242
159,1.06518,156,1.29209
160,1.45094,117,0.878055
160,1.4768,118,-1.64728
160,-0.0288185,159,0.703605
161,1.75823,80,0.661686
161,1.72043,109,0.959706
161,2.03298,110,0.767793
161,1.63618,124,0.31929
162,-0.0892109,127,0.846427
162,-1.5904,159,0.723712
163,-1.11159,96,1.55631
163,-1.36377,137,1.43866
163,-0.428053,141,-0.358796
164,0.777467,116,0.274643
164,0.00728927,117,0.788871
164,0.258745,118,-1.617
164,-0.407783,125,0.823015
164,-0.390249,127,0.412865
165,0.949876,96,1.10323
165,-0.210548,104,0.285837
165,-0.124892,138,1.9314
165,-0.135885,144,1.04027
165,0.415917,163,-0.818539
166,0.193424,96,1.16887
166,0.782513,150,1.01823
166,0.712711,151,-0.804913
166,0.766777,157,-1.59908
166,0.0710682,165,0.996718
167,1.1221,96,2.04865
167,1.02491,135,-0.125581
167,1.05562,137,0.888733
167,0.64201,163,-0.854429
167,0.606522,165,0.442532
169,0.125141,135,9.39675e-05
169,0.599319,157,0.907612
171,0.0244123,135,1.2066
171,0.693593,149,-2.93734
171,0.869734,153,3.06266
171,0.155892,157,0.360531
172,0.926976,96,0.127596
172,-0.158238,141,0.029199
172,0.00612498,167,0.0740868
173,0.238766,96,1.69169
173,-0.210432,135,0.24034
173,0.033417,137,1.12873
173,0.547089,163,-0.971419
174,0.202645,96,1.65471
174,1.17166,135,1.54207
174,0.344737,137,1.28367
174,0.0453267,163,-0.931109
174,-0.000394685,167,0.717091
174,0.950267,171,0.108517
174,0.170627,173,0.322253
175,-0.606338,96,1.17907
175,0.833631,141,0.954325
175,-0.553143,165,0.904728
175,0.136939,172,0.368278
176,-0.098774,96,0.622716
176,1.3532,141,0.502734
176,0.620341,172,0.390176
176,0.677718,175,0.1647
177,-0.349606,141,0.10582
177,0.61238,149,-0.534912
177,0.437805,151,-0.237022
177,-0.349911,172,-0.0800774
178,-0.364273,104,0.334959
178,0.454906,137,0.292693
178,-0.412074,138,1.93341
178,-0.533911,141,-0.665564
178,-0.27989,144,1.04908
180,-0.0649521,151,0.408129
183,1.03853,141,0.612672
184,0.298687,149,-0.16231
184,0.119323,150,-0.312637
184,0.0126407,177,0.45945
185,0.0706973,124,3.33635
185,0.960967,141,0.143671
185,1.00034,172,-0.0984737
185,0.980057,177,-0.388022
186,-0.100964,124,2.5193
186,1.6722,141,1.06117
186,1.60088,175,0.89469
186,0.760207,185,0.499308
187,0.977077,141,0.595517
187,0.460956,185,0.503273
187,0.451818,186,0.751955
188,0.980996,185,0.506011
188,0.974194,186,0.771901
188,0.944128,187,0.472785
189,-0.137599,124,3.30728
189,-0.23211,185,0.0484813
190,0.948494,96,1.00101
190,-0.136669,108,-2.49504
190,0.970556,175,-0.413286
190,0.371411,188,-0.0382608
191,0.92098,96,0.0527712
191,-0.734301,108,-1.84964
191,0.802056,172,0.897978
191,0.0556431,188,-0.0343031
191,0.0790784,190,0.397498
192,0.96407,96,0.528775
192,-0.394143,108,-2.17265
192,0.96713,176,0.0270208
192,0.214837,188,-0.0360263
192,0.274613,190,0.397862
192,0.273704,191,0.0785236
193,0.929303,96,0.474934
193,1.04848,192,0.971245
195,1.26484,194,0.256112
196,0.839592,190,-0.0965312
196,0.990076,194,0.113793
197,0.212912,108,-2.26204
198,0.939549,108,-2.17288
198,0.0764311,124,2.94332
198,0.404276,189,0.319923
198,0.807303,192,-0.352337
198,0.823372,197,0.0389451
199,0.99953,195,1.02333
200,1.06508,108,1.09468
200,0.0979031,124,2.56093
200,0.0317322,186,-0.0972493
