segment,a_x,a_y,a_z,b_x,b_y,b_z,t_min,t_max
96,-0.513974,0.615623,15.9341,-0.00128236,0.00957122,-1.43837,-9.74844e-06,5.72414
97,-0.587884,0.64318,9.49786,1.30756,0.0273843,-0.00923652,-0.942904,1.04326
98,-0.767852,0.773994,7.88136,1.41874,0.0225257,0.00615461,-6.6775e-09,1.07104
99,-0.23574,0.0709728,8.26906,0.554958,0.0146649,-0.831749,-0.463979,0.487332
100,-0.619843,0.423747,8.40518,-0.0874486,-0.48153,-0.872056,-0.515353,0.587341
101,-1.78785,0.226364,9.19018,1.31822,0.402407,-0.425179,-0.506523,1.20234
102,-0.649347,-0.44122,8.94863,-0.0159647,0.933001,1.04335,-0.0939052,1.24363
103,0.316238,0.742148,9.52934,2.03672,-0.468121,-0.00221476,-3.04192e-06,1.08526
104,0.609351,0.833293,12.1743,-0.0326656,0.165791,2.63794,-1.39507,1.07072
105,-1.8293,0.283999,9.50323,1.1279,0.340717,-0.0165409,-0.554425,1.84365
106,-0.757461,0.215099,9.47508,1.95233,0.374848,-0.00237059,-0.602728,1.00001
107,-0.583142,-0.354855,9.87557,-0.0225702,0.790104,-0.927014,-0.256329,1.25834
108,-0.544993,-0.572274,10.7421,-0.00423181,-0.00327589,-2.04513,-2.5468,1.19897
109,-0.749941,-0.60326,10.9296,1.28691,0.0162732,0.0084542,-0.0287075,1.85137
110,-0.591245,-0.571698,11.6994,0.906115,0.00055175,-1.1473,-0.0190878,1.36115
111,-0.553518,-0.4841,10.3205,-0.00623113,1.19998,1.37705,1.05116e-05,1.00001
112,0.229597,0.666725,10.6305,-0.858739,0.00722533,1.10068,-0.431544,0.999993
113,0.583062,0.666923,11.7096,-0.877697,0.00818006,-1.08483,-0.14023,1.40666
114,0.686917,0.632504,11.0215,-1.27771,0.0616865,-0.0972605,-0.241313,1.22339
115,1.24983,0.51698,10.4818,0.00135744,-0.0255676,-0.999672,-1.13497,1.41715
116,1.51204,0.240831,11.6828,-2.32719,0.0337938,0.0135718,-0.134896,1.54326
117,2.92402,-0.193116,11.6982,-1.72787,0.123191,-0.0121487,-0.000497288,2.76994
118,-0.828951,-0.364293,11.6744,-1.33912,-0.235885,-0.000729243,-2.81537,1.00069
119,0.533646,0.121599,10.9665,-0.863124,0.00825378,-0.0213264,-0.134728,1.12676
120,-0.572123,-0.598884,10.2333,0.698389,0.00665444,0.91466,1.305e-08,1.69511
121,0.53091,-0.0209518,10.9961,0.00925376,-0.656886,-0.753933,-0.60812,0.904261
122,-0.546045,-0.598465,11.6145,0.0347197,1.16361,-1.33093,-0.0957239,1
