wall_time,processing_time,seg_vec_size,nblines
1.53744e+08,543999,88,10
1.54224e+08,480000,88,10
1.54784e+08,560000,88,10
1.55352e+08,568000,88,10
1.55872e+08,520000,89,10
1.56392e+08,519999,92,10
1.56864e+08,472000,92,10
1.572e+08,336000,92,10
1.57472e+08,272000,92,10
1.57664e+08,192000,92,9
1.578e+08,136000,92,6
1.5792e+08,120000,92,7
1.58072e+08,152000,92,8
1.58288e+08,176000,92,6
1.58544e+08,224000,93,8
1.58728e+08,184000,93,6
1.58912e+08,176000,93,5
1.5916e+08,215999,93,6
1.594e+08,240000,93,7
1.59632e+08,232000,94,7
1.59896e+08,264000,95,8
1.60192e+08,296000,96,8
1.60552e+08,359999,99,10
1.6092e+08,368000,99,9
1.61288e+08,368000,99,9
1.6164e+08,352000,99,10
1.62024e+08,384000,99,10
1.624e+08,376000,99,10
1.62744e+08,343999,99,10
1.63072e+08,328000,99,9
1.63384e+08,312000,99,10
1.63728e+08,344000,99,10
1.64088e+08,359999,99,10
1.6448e+08,392000,100,10
1.64848e+08,368000,101,10
1.65224e+08,375999,101,10
1.65616e+08,392000,101,10
1.6596e+08,344000,101,10
1.66328e+08,368000,102,10
1.66688e+08,360000,102,10
1.67024e+08,336000,102,10
1.67392e+08,367999,102,10
1.67728e+08,336000,102,10
1.68088e+08,359999,102,10
1.6848e+08,392000,102,10
1.68808e+08,328000,102,10
1.69128e+08,320000,102,10
1.69496e+08,368000,103,10
1.69832e+08,335999,103,10
1.70112e+08,280000,103,9
1.70216e+08,104000,103,10
1.704e+08,152000,103,9
1.70608e+08,152000,103,10
1.70776e+08,112000,103,10
1.70992e+08,112000,103,7
1.71176e+08,88000,103,6
1.71416e+08,127999,103,7
1.71592e+08,88000,103,8
1.71808e+08,95999,103,9
1.72016e+08,88000,103,8
1.72248e+08,112000,103,8
1.72456e+08,112000,103,9
1.72664e+08,112000,103,7
1.72888e+08,128000,103,8
1.7312e+08,152000,103,9
1.73336e+08,152000,103,9
1.7372e+08,328000,103,9
1.74104e+08,384000,103,10
1.74488e+08,383999,103,10
1.74952e+08,464000,103,10
1.75464e+08,512000,103,10
1.75968e+08,504000,103,10
1.76528e+08,559999,103,10
1.7712e+08,592000,103,10
1.77672e+08,551999,103,10
1.78184e+08,512000,105,10
1.78624e+08,440000,105,8
1.78848e+08,224000,105,4
1.79072e+08,224000,105,4
1.7932e+08,247999,105,5
1.79552e+08,232000,105,4
1.7976e+08,208000,105,4
1.79984e+08,224000,105,4
1.80208e+08,223999,105,4
1.80448e+08,240000,105,4
1.80688e+08,240000,105,4
1.80912e+08,224000,105,3
1.8116e+08,247999,105,4
1.81368e+08,208000,105,4
1.81624e+08,256000,105,5
1.81864e+08,240000,105,4
1.82136e+08,271999,105,5
1.82464e+08,328000,105,7
1.8284e+08,376000,105,7
1.83336e+08,496000,105,9
1.838e+08,464000,105,9
1.84192e+08,392000,105,10
1.84616e+08,424000,105,9
1.85056e+08,440000,105,9
1.85472e+08,416000,105,7
1.85808e+08,335999,106,6
1.86152e+08,344000,106,6
1.86432e+08,280000,106,5
1.86808e+08,375999,106,7
1.8708e+08,272000,106,5
1.87376e+08,296000,106,5
1.87656e+08,280000,106,5
1.87976e+08,319999,106,5
1.88352e+08,376000,106,6
1.88648e+08,295999,106,5
1.89008e+08,360000,106,6
1.8948e+08,471999,106,9
1.90008e+08,528000,107,10
1.90448e+08,440000,107,10
1.9088e+08,431999,107,10
1.9132e+08,440000,107,9
1.9176e+08,440000,107,9
1.92192e+08,432000,107,10
1.9264e+08,448000,107,10
1.92904e+08,263999,107,10
1.93288e+08,384000,107,10
1.9372e+08,431999,107,10
1.94112e+08,392000,107,8
1.9448e+08,368000,107,7
1.94832e+08,351999,107,7
1.95216e+08,384000,107,8
1.95552e+08,335999,107,7
1.95888e+08,336000,107,7
1.96248e+08,351999,107,7
1.9656e+08,312000,107,6
1.96896e+08,336000,107,7
1.97216e+08,320000,107,6
1.97424e+08,208000,107,4
1.97648e+08,223999,107,4
1.9784e+08,192000,107,4
1.97976e+08,135999,107,3
1.98072e+08,96000,107,1
1.9836e+08,280000,107,6
1.98656e+08,296000,107,7
1.98888e+08,232000,107,5
1.99184e+08,295999,107,8
1.99592e+08,408000,107,10
1.99968e+08,376000,107,8
2.00456e+08,488000,107,10
2.0108e+08,624000,107,10
2.01624e+08,543999,107,10
2.02144e+08,520000,107,10
2.02688e+08,544000,107,10
2.03184e+08,495999,107,10
2.03448e+08,264000,107,4
2.03768e+08,320000,107,6
2.03992e+08,223999,107,4
2.04144e+08,152000,107,3
2.04384e+08,224000,107,4
2.046e+08,215999,107,4
2.04808e+08,208000,107,4
2.04928e+08,120000,107,2
2.05192e+08,200000,107,4
2.05448e+08,256000,107,5
2.05672e+08,223999,107,4
2.05856e+08,184000,107,3
2.0604e+08,184000,107,3
2.06256e+08,216000,107,4
2.06456e+08,200000,107,3
2.06648e+08,191999,107,3
2.06848e+08,184000,107,3
2.07056e+08,176000,107,3
2.07288e+08,200000,107,4
2.07488e+08,192000,107,3
2.078e+08,296000,107,7
2.0816e+08,359999,108,10
2.08552e+08,392000,109,10
2.0896e+08,408000,109,10
2.09408e+08,448000,109,10
2.09784e+08,375999,109,10
2.10208e+08,424000,109,10
2.10544e+08,336000,109,10
2.10904e+08,359999,109,10
2.1136e+08,456000,109,10
2.11872e+08,512000,109,10
2.124e+08,528000,109,10
2.13e+08,600000,109,10
2.13568e+08,568000,109,10
2.14184e+08,615999,109,10
2.14744e+08,560000,109,10
2.15264e+08,520000,110,10
2.15816e+08,552000,111,10
2.16376e+08,560000,111,10
2.16984e+08,608000,111,10
2.1752e+08,536000,111,10
2.17992e+08,472000,111,10
2.18416e+08,423999,111,10
2.18808e+08,392000,111,10
2.19216e+08,408000,111,10
2.19648e+08,431999,111,10
2.2008e+08,432000,111,10
2.20496e+08,416000,112,10
2.20912e+08,416000,112,10
2.21352e+08,440000,112,10
2.21768e+08,416000,112,10
2.22248e+08,479999,113,10
2.2276e+08,512000,114,10
2.2324e+08,480000,114,10
2.23752e+08,512000,115,8
2.24152e+08,400000,115,10
2.246e+08,447999,115,10
2.25008e+08,408000,115,10
2.25432e+08,424000,115,10
2.25904e+08,471999,115,10
2.26504e+08,600000,116,10
2.27072e+08,568000,117,10
2.27712e+08,640000,117,10
2.28328e+08,616000,118,10
2.29008e+08,680000,120,10
2.29512e+08,504000,120,10
2.2996e+08,448000,121,10
2.30408e+08,448000,122,10
2.30872e+08,464000,122,10
2.31336e+08,464000,122,10
2.31824e+08,488000,123,10
2.3228e+08,456000,123,10
2.3272e+08,439999,123,10
2.33192e+08,472000,123,10
2.33632e+08,440000,123,10
2.3408e+08,448000,124,10
2.34528e+08,447999,124,10
2.35008e+08,480000,124,10
2.35488e+08,479999,124,10
2.35968e+08,480000,125,10
2.36512e+08,544000,125,10
2.37032e+08,520000,125,10
2.37552e+08,519999,125,10
2.38056e+08,504000,125,10
2.3856e+08,504000,125,10
2.39024e+08,464000,125,10
2.39408e+08,384000,125,10
2.39776e+08,368000,125,10
2.39944e+08,168000,125,10
2.4012e+08,168000,125,10
2.40304e+08,152000,126,10
2.40512e+08,144000,126,10
2.40736e+08,160000,127,10
2.40904e+08,120000,127,10
2.4112e+08,128000,127,9
2.41344e+08,136000,127,10
2.4152e+08,104000,127,8
2.4176e+08,136000,127,7
2.41976e+08,144000,127,9
2.42152e+08,112000,127,9
2.42376e+08,128000,127,9
2.42584e+08,120000,127,8
2.42776e+08,104000,127,6
2.42976e+08,96000,127,7
2.43232e+08,151999,127,8
2.43432e+08,136000,127,8
2.43584e+08,80000,127,5
2.43824e+08,104000,127,8
2.44048e+08,128000,127,9
2.44272e+08,136000,127,8
2.4448e+08,144000,127,6
2.44696e+08,151999,127,7
2.4488e+08,120000,127,7
2.45088e+08,119999,127,8
2.45344e+08,160000,127,8
2.45552e+08,160000,127,8
2.45824e+08,224000,127,8
2.46048e+08,224000,127,7
2.46264e+08,216000,127,8
2.4644e+08,175999,127,7
2.46568e+08,128000,127,7
2.46792e+08,144000,127,10
2.47016e+08,160000,127,10
2.47328e+08,264000,127,10
2.4756e+08,232000,127,10
2.478e+08,240000,127,10
2.4804e+08,239999,127,10
2.48304e+08,264000,127,10
2.486e+08,295999,127,10
2.49072e+08,472000,128,10
2.49512e+08,440000,129,10
2.50008e+08,496000,130,10
2.50536e+08,528000,130,10
2.5104e+08,503999,130,10
2.51616e+08,576000,130,10
2.52232e+08,615999,130,10
